starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:50:57 2018	1523461857	37	67	104	67
Wed Apr 11 16:50:57 2018	1523461857	38	66	104	66
Wed Apr 11 16:51:03 2018	1523461863	36	69	104	68
Wed Apr 11 16:50:54 2018	1523461854	58	47	104	46
Wed Apr 11 16:51:03 2018	1523461863	78	26	104	26
Wed Apr 11 16:51:00 2018	1523461860	44	61	104	61
Wed Apr 11 16:51:03 2018	1523461863	35	69	104	68
Wed Apr 11 16:50:59 2018	1523461859	36	68	104	68
Wed Apr 11 16:51:15 2018	1523461875	38	67	104	66
Wed Apr 11 16:51:03 2018	1523461863	18	86	104	86
Wed Apr 11 16:50:59 2018	1523461859	36	69	104	68
Wed Apr 11 16:50:59 2018	1523461859	36	68	104	68
Wed Apr 11 16:50:52 2018	1523461852	65	39	104	39
Wed Apr 11 16:50:56 2018	1523461856	67	37	104	35
Wed Apr 11 16:51:03 2018	1523461863	78	27	104	26
Wed Apr 11 16:50:54 2018	1523461854	80	24	104	23
Wed Apr 11 16:50:56 2018	1523461856	69	36	104	35
Wed Apr 11 16:50:58 2018	1523461858	60	45	104	45
Wed Apr 11 16:50:54 2018	1523461854	80	24	104	23
Wed Apr 11 16:50:59 2018	1523461859	36	68	104	68
Wed Apr 11 16:51:15 2018	1523461875	21	83	104	82
Wed Apr 11 16:50:58 2018	1523461858	60	44	105	33
Wed Apr 11 16:51:19 2018	1523461879	18	86	105	86
Wed Apr 11 16:51:20 2018	1523461880	84	21	105	21
Wed Apr 11 16:50:55 2018	1523461855	65	39	105	39
Wed Apr 11 16:50:55 2018	1523461855	65	39	105	38
Wed Apr 11 16:51:03 2018	1523461863	40	65	105	64
Wed Apr 11 16:51:08 2018	1523461868	22	82	105	82
Wed Apr 11 16:50:56 2018	1523461856	68	36	105	35
Wed Apr 11 16:51:21 2018	1523461881	75	30	105	30
Wed Apr 11 16:50:50 2018	1523461850	55	50	105	49
Wed Apr 11 16:50:58 2018	1523461858	60	45	105	44
Wed Apr 11 16:50:50 2018	1523461850	53	51	105	51
